Metric,SVM,NB,RFC,LR
LVO Accuracy Mean,0.5658,0.4298,0.5219,0.557
LVO Accuracy CI,"(0.5013, 0.6303)","(0.3654, 0.4942)","(0.4569, 0.5869)","(0.4924, 0.6216)"
F1-Score Mean,0.7375,0.3284,0.6546,0.7198
F1-score CI,"(0.7218, 0.7531)","(0.2942, 0.3626)","(0.6412, 0.6681)","(0.6934, 0.7462)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",{},"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 400}","{'C': 0.001, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5658,0.4997,0.5826,0.5715
Best Test Score,0.5652,0.3913,0.5435,0.5652
