Metric,SVM,RFC,NB,LR
LVO Accuracy Mean,0.5282,0.4839,0.5806,0.5323
LVO Accuracy CI,"(0.4660, 0.5905)","(0.4215, 0.5462)","(0.5191, 0.6422)","(0.4700, 0.5945)"
F1-Score Mean,0.6607,0.5613,0.6598,0.6597
F1-Score CI,"(0.6208, 0.7007)","(0.5416, 0.5810)","(0.6437, 0.6758)","(0.6266, 0.6929)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}","{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}","{}","{'C': 0.001, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5303,0.5458,0.5760,0.5304
Best Test Score,0.5200,0.5400,0.5200,0.5200
