Metric,SVM,NB,RFC,LR
LVO Accuracy Mean,0.525,0.4417,0.5083,0.4833
LVO Accuracy CI,"(0.4353, 0.6147)","(0.3524, 0.5309)","(0.4185, 0.5982)","(0.3935, 0.5731)"
F1-Score Mean,0.6185,0.4589,0.5497,0.443
F1-score CI,"(0.5626, 0.6744)","(0.4184, 0.4995)","(0.5253, 0.5742)","(0.4083, 0.4778)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",{},"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}","{'C': 10, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'liblinear'}"
Best Train Score,0.5222,0.4379,0.5211,0.5226
Best Test Score,0.5417,0.4583,0.5417,0.4583
