Metric,SVM,NB,RFC,LR
LVO Accuracy Mean,0.459,0.4344,0.3279,0.5328
LVO Accuracy CI,"(0.3702, 0.5478)","(0.3461, 0.5227)","(0.2442, 0.4115)","(0.4439, 0.6217)"
F1-Score Mean,0.4669,0.4922,0.44,0.5198
F1-score CI,"(0.4353, 0.4986)","(0.4603, 0.5241)","(0.4143, 0.4658)","(0.4939, 0.5457)"
Best Parameters,"{'C': 20, 'gamma': 0.001, 'kernel': 'linear', 'probability': True}",{},"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}","{'C': 10, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.6044,0.4437,0.4837,0.5653
Best Test Score,0.36,0.44,0.4,0.32
