,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,32.90143039112903,0.19519194482258065,29.157575197580645,33.278403568548384,37.22385311290323,8.066277891935483,282.8761604435484,458.8897625806452,147.77659983870967,267.92604254032256,583.1584394354838,0.422948612983871,1179.875773185484,0.2207766737903226,-86.01296821774194,-1.0647312863306453,1662.9927274193549,0.18504386699193548,835.7764410080645,0.4577501010887097,-83.19169925403226,-0.9683900525806451,2697.3131330645156,0.1134410560967742,758.4595108064517,0.5064908035080645,-84.69606381854838,-0.931463285685484,-14.530175188306451,-0.6148627230645162,-5.446603816096775,7.73477742983871,1.7222669694354837,20.913940495967744,0.5979744228225806
std,4.310040667741665,0.039974678807727884,4.982341166055813,4.657571580697736,4.706996581607097,2.851105638403449,77.01462757182732,142.95165228849032,39.61359471350432,98.86217284894518,66.26046732778819,0.053979498801617905,80.69070352163756,0.0403260259170473,18.300535170450573,0.21530933845284383,70.35402271023976,0.018554390530618928,89.56965332096665,0.08377893996914552,15.550486002359792,0.15078964091107164,79.60176953492946,0.011634122365379593,82.85271617010582,0.10548168918798956,14.957345191644071,0.13276454387948883,4.116763933816936,0.30821149920313234,5.515889147941648,2.4849765945318367,1.2704543873678686,4.6754947525729404,0.19618193835562434
min,21.390858,0.118299596,16.71953,21.43064,24.48392,3.9192696,138.66006,210.90218,53.995987,85.32634,458.5011,0.22180504,874.85333,0.14013352,-128.14494,-1.9491498,1477.6812,0.083270684,618.7014,0.18100168,-115.11558,-1.6393892,2493.121,0.05971147,501.42075,0.2984134,-115.37351,-1.5345618,-23.454517,-2.577725,-24.219059,-3.113405,-12.631581,9.972974,0.28062767
25%,29.411516499999998,0.16774630000000001,24.82519675,29.245666749999998,33.450589,6.461395,229.1263375,365.2161125,123.72917749999999,194.82198499999998,531.660615,0.38194607999999997,1123.589175,0.194021825,-99.05428,-1.155928075,1618.5432999999998,0.172539145,766.77335,0.39783625749999996,-94.7822175,-1.030014225,2640.479475,0.10533474625,701.26055,0.4302649125,-95.88970950000001,-0.98706097,-17.474522999999998,-0.6865307549999999,-6.8891884,5.9629035,1.313563475,17.7234145,0.461586345
50%,33.480185,0.190649185,29.843636,34.5786095,38.332403,7.5054855,273.73068,439.75013,144.766405,254.94169,580.0759,0.428088085,1179.98745,0.21216942,-86.991518,-1.03120005,1664.6021500000002,0.18510727500000002,828.869815,0.449427935,-84.50670249999999,-0.94715792,2696.62835,0.11359582,760.20232,0.50111895,-85.620295,-0.9141192,-14.703839,-0.532070695,-4.88236715,7.94908725,1.59415215,21.4208265,0.55854625
75%,36.3894535,0.220366765,33.5794525,37.16468075,40.994040500000004,8.81797775,321.12080000000003,527.4176124999999,167.37082249999997,332.9195825,620.1495649999999,0.4648107725,1245.113425,0.239934155,-75.4819075,-0.9202526375,1709.387275,0.19801896,899.3093125,0.5139248475,-73.969443,-0.8782674100000001,2747.2544,0.12136536125,816.03935,0.5781059425,-76.030785,-0.8483006224999999,-11.493541500000001,-0.44584875,-2.477946625,9.574034000000001,2.0319252,24.249284,0.6898897500000001
max,40.98907,0.34121352,37.166183,41.843925,45.835785,24.509176,582.11865,1000.5408,387.36884,706.72144,824.52625,0.52691156,1345.4277,0.40129694,-30.097214,-0.6929533,1897.6866,0.22944269,1078.3794,0.72289944,-38.14644,-0.69594336,2905.4805,0.14062825,927.56744,0.8713198,-42.77901,-0.6905281,-2.9612324,-0.14128311,5.154733,13.739093,9.263395,34.823933,1.9904023
