,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,0.04582911301209677,1.9188732508064514,1.3298402747177418,0.7776111183467741,5.558973823387097,1.123945179314516,22.673896241935484,0.4190725359677419,12.742319885080644
std,0.012039419606364059,0.20995300989579407,0.1837986098515452,0.1067201216021975,2.2648058623631138,0.9439320336828069,4.744858532910053,0.11844206770947062,6.3271177317028915
min,0.023789844,1.2114909,0.95053935,0.5239257,-3.6015556,-0.56922805,10.460853,0.22543865,3.7698689
25%,0.03767567625,1.774267825,1.1793489,0.7136743175,3.689405525,0.74063217,19.41437025,0.3442519975,9.2548655
50%,0.044109694500000005,1.91342265,1.3143468,0.780717125,5.49749415,0.93879713,22.7886135,0.39900078,11.66463975
75%,0.050132845499999995,2.0592238000000003,1.459281825,0.8578436925,7.274543925,1.25860455,25.9423345,0.46629343,13.95833775
max,0.110971205,2.5526338,1.8618567,1.0043299,10.706579,13.285513,34.337452,0.89932555,35.433117
