,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,0.9584201390725806,0.7992929160080646,0.26212081741935483,0.8066636428225807,1.5475995069354838,1.2854786901612905,18.55302174879032,11.588055543145162,15.049519169354838,9.955981477822581,-24.436657999999998,3.4852306536290323,2.3843754866935485,0.27915496131048384,0.2741450702419355,0.14592773604435486,0.2073324375604839
std,0.44249021112672354,0.10969454618818897,0.20170332547591063,0.42707926066683016,0.6933850212413928,0.5461436347153564,7.11892825323279,4.36054475172472,5.539894995468979,3.610776064860225,5.03920412962104,0.6086830954514924,0.3886626527011142,0.07144417830898914,0.09922802874838686,0.03266563789450162,0.06671169442660993
min,0.2029721,0.29390237,0.05434536,0.1840276,0.31087184,0.03430891,3.5681567,2.1454422,2.879923,2.012183,-40.847668,0.0295858,1.483828,0.088457495,0.08009568,0.0637561,0.059290837
25%,0.6762810075000001,0.7417477075000001,0.1453677975,0.5465320325,1.093504775,0.9077893075,13.293369625,8.49603075,11.1398945,7.38329875,-27.63278175,3.139032475,2.1705016749999997,0.23023093749999998,0.20385204,0.12431566999999999,0.1641867625
50%,0.85168395,0.8085529499999999,0.19227177,0.69229152,1.401995,1.19086375,17.881382,11.227629,14.3861725,9.7344715,-24.409537999999998,3.52768415,2.3572908999999997,0.27048252,0.2552038,0.147840205,0.20639465
75%,1.1250975,0.86480175,0.3107168625,0.9432722,1.825202575,1.49448915,21.73398525,14.038393,17.995448500000002,11.84212925,-21.81440825,3.8520037,2.5687518999999996,0.313678525,0.30679748250000005,0.166450355,0.24840360749999998
max,2.7988117,1.0982322,1.5645485,2.8344283,4.452462,3.4581566,45.777397,24.644041,32.148438,23.22171,-10.686827,4.880682,5.641056,0.60265917,0.7914656,0.24842592,0.4525876
