,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,spectralFluxUV_sma3nz_amean,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,0.7824503989112904,1.0765069931451612,1.0142255823790323,0.8384216977016128,0.27061531675,0.054054120915322586,0.4539056158467742,-0.02300709401814516,-0.652504663266129,0.017876468362540324,-0.008651545074758064
std,0.579911252168226,0.16471736751245572,0.6577947397989301,0.11569405643328033,0.25727216973266936,0.03106107280006652,2.54190529259376,0.005446744237271852,0.2243129537639986,0.0405787093658221,0.006160278580135083
min,0.09788491,0.63361144,0.13578263,0.5692801,0.04296062,-0.030865477,-30.705053,-0.04413706,-1.5889326,-0.09371304,-0.030669205
25%,0.4283947675,0.981919175,0.5741447000000001,0.7578852875,0.14525112,0.036614793,0.4156027975,-0.02654164725,-0.735467775,-0.002897720425,-0.01192041525
50%,0.5990234000000001,1.0754707,0.81098412,0.832437305,0.193629115,0.0577247915,0.581851825,-0.023117452,-0.594517975,0.0193752145,-0.0085311185
75%,0.8511352225,1.1782295,1.1474932249999998,0.9034852375,0.2942173,0.07721757125,0.876900725,-0.019696475249999998,-0.510051375,0.042203115,-0.00487506865
max,3.6198857,1.7732961,4.0158505,1.3663191,1.8199507,0.13059984,6.987081,-0.009483765,-0.1924183,0.12496894,0.006585727
