,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,16.248755510483868,1.034659930685484,9.904052980955646,1.620941274596774,10.433681461935484,0.9070514613709678,-5.670224211665887,-210.7217213628226,21.86071530887097,0.6129915805846773,9.704234233951613,2.0766537835080645,11.631226302782258,1.0698237964516129,-8.805147695983871,-0.74117773766129
std,5.082137753438612,0.573026839883563,8.471774048600777,16.91155715553873,6.9184168671146535,10.571480167026866,7.680463305379983,3552.090258336468,5.2056527299169515,0.23206651358269323,9.172641256517332,12.719587384986413,8.06551911017483,7.365569901014333,9.106649623134903,25.61118056173564
min,2.6839175,0.14126593,-19.273857,-124.900894,-5.9621935,-128.48254,-31.646395,-55858.75,7.4536176,0.114922985,-21.48191,-77.0773,-7.002793,-77.88916,-37.626053,-141.55711
25%,12.78799925,0.698872925,3.4893948999999997,0.68438513,5.843629375000001,0.8401726825,-10.10041875,-3.1940704749999997,17.7031575,0.45872739,3.3926093,0.619337305,6.424704425,0.7992637,-14.61126625,-2.4350435499999996
50%,16.612178,0.8528360500000001,10.0931735,1.0658984,10.34008325,1.17673385,-5.2111602999999995,-1.6653723999999999,22.022515,0.547478585,9.3972135,1.1273108,11.9700275,1.1192547,-7.9228707,-1.38741835
75%,20.06153125,1.185666925,15.405218249999999,2.2135023499999997,15.37199075,2.047129225,-0.84949862,-0.750576375,25.660593,0.67134647,15.932805875,2.258014675,17.088728749999998,1.99001535,-2.836144525,-0.8124471875
max,28.436459,5.0532336,35.03751,212.60823,29.11575,53.155632,12.832203,2512.966,33.41779,1.6475972,37.936245,112.24593,32.94944,49.936573,13.428763,336.3671
