Metric,SVM,RFC,NB,LR
LVO Accuracy Mean,0.5524,0.5444,0.5282,0.5161
LVO Accuracy CI,"(0.4904, 0.6144)","(0.4822, 0.6065)","(0.4660, 0.5905)","(0.4538, 0.5785)"
F1-Score Mean,0.7039,0.6242,0.5346,0.5962
F1-Score CI,"(0.6904, 0.7174)","(0.6087, 0.6397)","(0.5071, 0.5620)","(0.5799, 0.6125)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}","{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 400}","{}","{'C': 0.1, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5505,0.5555,0.5055,0.5659
Best Test Score,0.5600,0.5800,0.4600,0.5400

