Metric,SVM,RFC,NB,LR
LVO Accuracy Mean,0.5968,0.5444,0.5605,0.5968
LVO Accuracy CI,"(0.5356, 0.6579)","(0.4822, 0.6065)","(0.4986, 0.6224)","(0.5356, 0.6579)"
F1-Score Mean,0.7443,0.6775,0.6376,0.7445
F1-Score CI,"(0.7304, 0.7582)","(0.6629, 0.6920)","(0.6062, 0.6691)","(0.7305, 0.7584)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}","{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 400}","{}","{'C': 0.001, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5958,0.6013,0.5556,0.5959
Best Test Score,0.6000,0.6200,0.6000,0.6000

