Metric,SVM,NB,RFC,LR
LVO Accuracy Mean,0.5926,0.5407,0.563,0.5926
LVO Accuracy CI,"(0.5094, 0.6758)","(0.4564, 0.6251)","(0.479, 0.6469)","(0.5094, 0.6758)"
F1-Score Mean,0.0,0.2896,0.2927,0.3047
F1-score CI,"(nan, nan)","(0.2469, 0.3323)","(0.2503, 0.3351)","(0.2685, 0.341)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",{},"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}","{'C': 0.01, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5927,0.4922,0.5935,0.5931
Best Test Score,0.5926,0.5185,0.6296,0.6296
