Metric,SVM,NB,RFC,LR
LVO Accuracy Mean,0.5524,0.4435,0.5161,0.5444
LVO Accuracy CI,"(0.4904, 0.6144)","(0.3816, 0.5055)","(0.4538, 0.5785)","(0.4822, 0.6065)"
F1-Score Mean,0.7127,0.3088,0.6013,0.7048
F1-score CI,"(0.6984, 0.7269)","(0.2695, 0.3481)","(0.5846, 0.6181)","(0.6909, 0.7188)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",{},"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}","{'C': 0.001, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}"
Best Train Score,0.5505,0.4496,0.5564,0.5405
Best Test Score,0.56,0.42,0.58,0.54
