,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,7.162729191130042e-17,-9.490616178247306e-16,7.162729191130042e-18,-2.2920733411616134e-16,1.5758004220486094e-16,-2.5785825088068154e-16,1.2892912544034077e-16,-7.162729191130042e-17,1.360918546314708e-16,-9.669684408025557e-17,-4.2976375146780254e-16,-7.699933880464796e-17,-2.220446049250313e-16,4.154382930855424e-16,-3.3485758968532947e-16,-5.01391043379103e-16,-2.8292780304963666e-16
std,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570028,1.0020222467570024,1.0020222467570028,1.0020222467570024,1.0020222467570024,1.0020222467570026,1.0020222467570024,1.0020222467570024,1.0020222467570028,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570026
min,-1.7107174856866858,-4.616570175986339,-1.0321873978680167,-1.46084163760806,-1.7872157567387348,-2.2955498782753274,-2.1091894186067677,-2.169845552809334,-2.201161954462288,-2.204474233668868,-3.263252825002802,-5.6887287425967,-2.321727106159523,-2.674579065307225,-1.959545185414273,-2.52062450562836,-2.2236127935606538
25%,-0.6389060806487816,-0.5256558427292133,-0.580005922357631,-0.6103261961748401,-0.6562198628402522,-0.6929553687607782,-0.7403204879677383,-0.7105253601697847,-0.7071489438640343,-0.7139421777532766,-0.635534306313021,-0.5699160685836563,-0.5513941610449964,-0.6861715176701255,-0.7098314960280534,-0.6629526429199274,-0.6480561861536065
50%,-0.24170486328376145,0.08458725057968612,-0.34699625930231515,-0.2683422540774081,-0.21041549890453448,-0.1735921997271057,-0.09453641702156106,-0.08282346246081451,-0.11998207918188891,-0.061470975122759036,0.005392685557687814,0.06988751311513532,-0.06982754381606295,-0.12163313138288112,-0.19127230887940333,0.05866520794657838,-0.01408574623105385
75%,0.37744207550885206,0.5984008439801386,0.2414155451345209,0.32051383898956315,0.4011688188340666,0.3834762821550634,0.447735400744727,0.5630701629330569,0.5328416385319098,0.5234226643922579,0.5214221370013417,0.6037866908426988,0.4753460787301381,0.48420150770878,0.3297298546142244,0.6295337265933144,0.616896727529634
max,4.167579847918917,2.730708347848393,6.470203253509756,4.757583626296581,4.197865186948305,3.9862619690341274,3.831957379734084,3.000172828390301,3.0927476202729447,3.6813568218817876,2.7340897881398583,2.297210656546241,8.396140720581576,4.537226429065524,5.223994531183564,3.1441437301010366,3.683778848800645
