,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,-7.162729191130042e-17,-7.162729191130042e-17,5.372046893347532e-17,5.622742415037083e-16,-5.515301477170133e-16,2.5964893317846405e-16,2.1488187573390127e-16,-2.6502098007181157e-16,1.5041731301373088e-16,2.865091676452017e-16,4.154382930855424e-16,-3.8141532942767475e-16,-6.195760750327487e-16,-3.0620667292080933e-16,3.867873763210223e-16,5.586928769081433e-16,-5.407860539303182e-16,2.1488187573390127e-16,5.551115123125783e-16,-5.730183352904034e-16,7.162729191130042e-18,-1.1460366705808067e-16,7.098264628409872e-15,-4.369264806589326e-16,-1.1030602954340265e-15,-6.088319812460535e-17,-3.867873763210223e-16,8.093883985976947e-16,-1.217663962492107e-16,1.360918546314708e-16,8.953411488912552e-17,-7.162729191130042e-18,9.669684408025557e-17,-3.581364595565021e-16,1.2534776084477575e-16
std,1.0020222467570026,1.0020222467570026,1.0020222467570024,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570024,1.0020222467570028,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570024,1.0020222467570028,1.0020222467570024,1.0020222467570028,1.0020222467570024,1.0020222467570024,1.0020222467570028,1.0020222467570028,1.0020222467570026,1.0020222467570026,1.0020222467570028,1.0020222467570028,1.0020222467570028,1.0020222467570028,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570026,1.0020222467570028,1.0020222467570028,1.0020222467570026,1.0020222467570028,1.0020222467570026,1.0020222467570028
min,-2.6760419443702457,-1.9274162150548804,-2.5014742224108244,-2.5489082592315526,-2.7120683391205405,-1.4574677662003546,-1.8763674582494536,-1.7382735399505613,-2.3721720045481725,-1.8507479546922223,-1.8851274730371472,-3.733831165471819,-3.7877879420157785,-2.0038233946675543,-2.306881882543407,-4.115971153450684,-2.6393128054593524,-5.496218984552601,-2.4284343216817277,-3.30999741448018,-2.0570700301857423,-4.458900951065319,-2.5703581859901927,-4.627615121035979,-3.1086314186504196,-1.9766292042491707,-2.055143018607192,-4.551803596582117,-2.172188927211457,-6.3814350661627435,-3.4102240302525453,-4.374335016070738,-11.32104791399923,-2.344798232090766,-1.6208857396846341
25%,-0.8113546084032424,-0.6879641690454419,-0.8713051638097603,-0.8675963294365918,-0.8032499107377636,-0.564036751040758,-0.6993284269076616,-0.6566071802116182,-0.608277343543731,-0.74094964608487,-0.7787745517801448,-0.7611306354329304,-0.6989705271438521,-0.664805248889893,-0.7140602398238529,-0.42441824277633144,-0.6330741784765328,-0.6753123798247945,-0.771942613613908,-0.7165882522113136,-0.7468549299449687,-0.40950287651788553,-0.7154186405395923,-0.6981792481179624,-0.691765265749082,-0.7241070858547838,-0.7498845451127216,-0.4196159224701311,-0.7166556200301251,-0.23299897170065173,-0.2620614387145796,-0.714476385835592,-0.32234923018381384,-0.683773203906798,-0.6966180949997386
50%,0.1345520931721787,-0.11387074367236004,0.13797693970370184,0.27972415369400605,0.23598734973622543,-0.19709071630404118,-0.11899005618341563,-0.1341596080460677,-0.07614260248974453,-0.13160352165249628,-0.04661562490316497,0.09540409620461299,0.0013868097278644405,-0.21387328865800304,-0.05357923373547181,0.1560501044961963,0.022922317276462014,0.003424323455860733,-0.07726492906377205,-0.09953570151597736,-0.08473449040868489,0.141091052829336,-0.008620007681434278,0.013329486243730216,0.021077565884534112,-0.051029868433441636,-0.061916081570303955,0.13090211587131095,-0.042269852138986715,0.26916404543394207,0.102499828531897,0.08641659159794327,-0.1010456577505128,0.10863257890099778,-0.20138401449367171
75%,0.8109150288186376,0.6310427157454641,0.889304702704978,0.8360872453398238,0.8025949394303095,0.26418522362661834,0.4975935203871056,0.48034722958670684,0.4956340659442827,0.6587451100694863,0.5593973638136748,0.7770878956585346,0.8101252757921908,0.47602564168890893,0.5766146739885962,0.6723852358192363,0.6607776927767128,0.7007145735327039,0.7107468687764944,0.6718674840094185,0.5942519050807747,0.5988799512799008,0.6286576390569645,0.6825035704671596,0.696371615846237,0.6803072933978476,0.580504229814016,0.6276588325197308,0.7391180451082283,0.5494790475413671,0.5392893998937902,0.7416472271211907,0.2442310711838327,0.7148095695707096,0.4694683079477401
max,1.880259477015113,3.6602387110609724,1.6106490736218693,1.8427721143262894,1.8333022318619754,5.778863288512003,3.8933854666876515,3.796712950039138,6.060463750595119,4.44743158438348,3.650078630448264,1.929865746464813,2.055834271133217,4.485572744130143,3.0615951472743,1.730207411507222,3.342644420944133,2.3977402173620894,2.7140170026994217,3.171268774704869,2.902568567736573,1.8104535919823106,2.6203981888449674,2.3415752613187992,2.045194351951528,3.465689387050279,2.8081066463693283,1.8184253794636975,2.815886028858108,1.5396482906319664,1.9258500397994933,2.4211325736790523,5.947775951188448,2.9811009698157105,7.111988604206801
