,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,6.518083563928339e-16,-2.2920733411616134e-16,-7.520865650686544e-17,1.7906822977825105e-17,4.297637514678025e-17,-1.4325458382260084e-17,-5.0139104337910294e-17,-3.581364595565021e-18,-1.68324135991556e-16,5.622742415037083e-16,-2.865091676452017e-17,1.4325458382260084e-17,3.223228136008519e-17,0.0,3.9395010551215234e-17,-1.2534776084477573e-17
std,1.0020222467570026,1.0020222467570026,1.0020222467570024,1.0020222467570028,1.0020222467570026,1.0020222467570021,1.0020222467570024,1.0020222467570024,1.0020222467570026,1.0020222467570026,1.0020222467570021,1.0020222467570028,1.0020222467570024,1.0020222467570024,1.0020222467570026,1.0020222467570026
min,-2.6745181102112405,-1.562231646929483,-3.4510971075319943,-7.49651214726549,-2.374680766202117,-12.264247493693862,-3.388949335548243,-15.697957615939432,-2.773183914579116,-2.1505722884444745,-3.406784309894273,-6.2355814075753075,-2.3150031179434527,-10.741688614546252,-3.1712198757416985,-5.509339816826009
25%,-0.682341749052768,-0.5871732813372996,-0.7587112292635739,-0.055491642998443905,-0.6647957752798621,-0.006339133518281861,-0.5779799093321135,0.05854224073242037,-0.8002772433752935,-0.6660855478777554,-0.6894839141901595,-0.1148043161961589,-0.6468338464641963,-0.03680736716542485,-0.6388584385252764,-0.06627149509540163
50%,0.07165437796733996,-0.3179459682474324,0.02236874665371582,-0.03288670009123161,-0.013556206920954963,0.02556195998056316,0.059891211491147435,0.05897347681267752,0.03114439215239124,-0.2828735521299077,-0.03353904257583322,-0.07478723644766747,0.0420910709159209,0.006724648017523071,0.09707864191149648,-0.025283780603566668
75%,0.7517478467217026,0.26405808103124684,0.6506653684395467,0.03510968118756719,0.7152352717466535,0.10806275603225643,0.6289300653225434,0.059231534998598775,0.7314283489532093,0.2519661130702607,0.6804111460715625,0.01428722823046169,0.6780144946832101,0.12518412292935993,0.6567809475280971,-0.0027883749474327257
max,2.402994689608748,7.027070874556722,2.972728371474082,12.501152622516267,2.7057994119378472,4.952403942872403,2.4138965252401667,0.7683351186302866,2.224590565058371,4.4672444605177875,3.0840738307697095,8.678903044319153,2.6484748339117132,6.6478996855229555,2.446440136796979,13.189161391636501
