,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
count,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0
mean,1.3251049003590579e-16,8.595275029356051e-16,7.843188464287396e-16,8.774343259134302e-16,-1.4325458382260084e-16,3.9395010551215234e-17,-5.372046893347532e-17,2.0055641735164118e-16,2.399514279028564e-16
std,1.002022246757003,1.0020222467570028,1.0020222467570028,1.0020222467570024,1.0020222467570026,1.0020222467570028,1.0020222467570026,1.0020222467570026,1.0020222467570021
min,-1.8342942246742224,-3.3760547315951106,-2.0678500511492586,-2.381916634323723,-4.052909976455325,-1.797372250168443,-2.5791582497443053,-1.6381465235951107,-1.420962257417619
25%,-0.6785979133768799,-0.6901442076574693,-0.8204398582449557,-0.6003188140447209,-0.8271565602805533,-0.4069023500621931,-0.688348774815613,-0.6329832424313608,-0.5523062833004294
50%,-0.14310453966535594,-0.026013550693875558,-0.08446639699442761,0.029163083009863637,-0.027200565611812593,-0.1965421849632339,0.024226063616086417,-0.16980745439609413,-0.1706716258539196
75%,0.35819298919445697,0.6698373731641187,0.7056816868326679,0.7533239562431103,0.7590228532407819,0.14294639904814826,0.6902308728525448,0.39948970198781975,0.19258009804334772
max,5.421675421767531,3.024687141775495,2.9004152654012882,2.1287200535713966,2.277464479496592,12.909998894969059,2.4631171329577204,4.062950043331158,3.5935293873027736
